Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
Euro Fiyat Listesi;CSP - Microsoft 365 Business Standard;per User;12.06
Euro Fiyat Listesi;CSP - Microsoft 365 E3;per User;26.49
Euro Fiyat Listesi;CSP - Microsoft 365 E5;per User;46.76
Euro Fiyat Listesi;CSP - Microsoft 365 F3;per User;7.72
Euro Fiyat Listesi;CSP - Microsoft Defender for Office 365 (Plan 1);per User;1.93
Euro Fiyat Listesi;CSP - Microsoft Teams Essentials;per User;3.86
Euro Fiyat Listesi;CSP - Microsoft Visio Plan 1;per User;4.82
Euro Fiyat Listesi;CSP - Microsoft Visio Plan 2;per User;14.47
Euro Fiyat Listesi;CSP - Office 365 E1;per User;6.56
Euro Fiyat Listesi;CSP - Office 365 E3;per User;13.94
Euro Fiyat Listesi;CSP - Office 365 E5;per User;28.42
Euro Fiyat Listesi;Ubuntu Pro + Infra Support (24/7) - Virtual;per VM;135.93
Euro Fiyat Listesi;Ubuntu Pro + Infra Support (weekday) - Virtual;per VM;55.06
Euro Fiyat Listesi;Ubuntu Pro + Support (24/7) - Virtual;per VM;211.47
Euro Fiyat Listesi;Ubuntu Pro + Support (weekday) - Virtual;per VM;105.83
Euro Fiyat Listesi;Bulutistan Destek Hizmeti 7x24;per VM;11.69
Euro Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 200 Mbps (HA);Adet;1305.13
Euro Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 1 Gbps (HA);Adet;2104.44
Euro Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – 5 Gbps (HA);Adet;3828.3
Euro Fiyat Listesi;Citrix Sanal Appliance – Dedike WAF & LB – Yönetim Hizmeti;Adet;505.14
Euro Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 50 Mbps (HA) + Yönetim Hizmeti;Adet;687.98
Euro Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 100 Mbps (HA) + Yönetim Hizmeti;Adet;694.02
Euro Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı Load Balancer – 200 Mbps (HA) + Yönetim Hizmeti;Adet;706.1
Euro Fiyat Listesi;Citrix Sanal Appliance – Paylaşımlı WAF & LB – 50 Mbps (HA) + Yönetim Hizmeti;Adet;839.52
